Name,Domain,T_perpapi,Runs,T_user,T_papi,T_SCoP_s,T_all_s,T_SCoP_ns,DynCov,T_system,T_all_ns,T_wall
xlintsts,scientific,0,0,0,0,0,0,0,0,0,0,0
povray,multimedia,0,0,19385.9,7039.27,0,0,0,0,4211.73,0,24784.4
x264,multimedia,0,8,403.21,122.283,34.1036,73.627,34103588532,46.3194,46.03,73627020996,449.11
bn,encryption,0,1,3.77,1.10305,0.352843,1.08567,352843303,32.5,0.49,1085672659,5.48
jacobi-1d-imper,polybench,0,1,0.3,1.0742,0.165069,0.16633,165069460,99.2424,0.02,166329537,0.42
rsa,encryption,0,1,2.63,0.493016,0.143022,0.537902,143022111,26.5889,0.21,537901850,2.99
crocopat,verification,0,680,2297.81,0.163766,0.0659678,56.8078,65967755,0.116124,23.08,56807786966,2356.71
linpack,scientific,0,1,19.47,2.29047,17.1115,18.1622,17111463845,94.2145,0.89,18162240247,20.66
crafty,scientific,0,2,453.86,268.413,67.1038,281.674,67103767238,23.8232,103.74,281673967545,573.65
minisat,verification,0,12,885.1,6.66194,0,875.567,0,0,0.55,875567366708,887.87
gesummv,polybench,0,1,0.41,1.05026,0.0687584,0.390683,68758414,17.5995,0.07,390683314,0.63
des,encryption,0,1,0.71,5.39846,0,0.000185715,0,0,0.01,185715,0.86
atax,polybench,0,1,0.57,1.05296,0.224582,0.517016,224582237,43.4382,0.05,517016118,0.71
3mm,polybench,0,1,47.82,1.08848,47.5878,47.6655,47587812628,99.8371,0.04,47665453291,48.13
leveldb,database,0,0,22.93,0.000616102,0,0,0,0,5.97,0,38.54
rc4,encryption,0,1,0.19,5.30341,0,0.00621349,0,0,0.01,6213487,0.31
cast,encryption,0,1,3.5,2.16208,0.669684,2.29736,669683600,29.1502,0.85,2297358053,4.53
dynprog,polybench,0,1,90.9,66.2845,39.4367,58.6704,39436681984,67.2174,25.44,58670382772,127.61
syrk,polybench,0,1,7.51,1.08915,7.33646,7.37627,7336464740,99.4603,0.03,7376273969,7.64
adi,polybench,0,1,7.89,1.09318,7.30578,7.36334,7305784728,99.2183,0.01,7363344768,8.02
ruby,compilation,0,0,0,0,0,0,0,0,0,0,0
7z,compression,0,1,61.65,17.1256,4.65997,31.2768,4659965645,14.8991,6.32,31276778832,67.99
gemver,polybench,0,1,0.82,1.05424,0.42016,0.723438,420159573,58.0782,0.06,723437916,1.02
openssl,encryption,0,0,0,0,0,0,0,0,0,0,0
doitgen,polybench,0,1,7.36,1.09889,7.20609,7.23171,7206091713,99.6458,0.06,7231706768,7.53
ecdsa,encryption,0,1,6.26,2.60961,0.726411,2.20072,726411187,33.0079,1.02,2200716716,7.42
ccrypt,encryption,0,403,241.77,0.00747151,0.00531899,0.0885062,5318987,6.00973,5.41,88506246,271.66
lulesh,scientific,0,1,320.86,148.078,64.457,242.243,64456987453,26.6084,57.03,242243244483,391.82
xz,compression,0,10,61.69,5.36553,0,41.4958,0,0,0.31,41495752749,62.72
fdtd-apml,polybench,0,1,4.25,1.07816,3.59045,4.14162,3590451707,86.692,0.31,4141620507,4.82
seidel-2d,polybench,0,1,1.15,1.06805,0.950463,0.969407,950463230,98.0458,0.01,969407455,1.41
trmm,polybench,0,1,21.83,1.05382,21.7458,21.7683,21745822612,99.8969,0.01,21768276328,22.06
gemm,polybench,0,1,16.64,1.07681,16.4919,16.5482,16491883138,99.6599,0,16548156538,16.74
syr2k,polybench,0,1,13.22,1.09462,13.0193,13.0604,13019326455,99.6853,0,13060424602,13.34
js,compilation,0,63,70155.3,0.325944,0.107774,1.09197,107774032,9.8697,291.44,1091968735,70118.7
xlintstrfc,scientific,0,0,0,0,0,0,0,0,0,0,0
symm,polybench,0,1,22.09,1.08704,21.8548,21.897,21854779432,99.807,0.02,21897043465,22.25
bicg,polybench,0,1,0.54,1.08773,0.18382,0.488778,183820405,37.6082,0.04,488777700,0.72
xlintstd,scientific,0,0,0,0,0,0,0,0,0,0,0
reg_detect,polybench,0,1,1.27,1.05374,0.175579,0.175654,175579173,99.9573,0.01,175654191,1.42
ludcmp,polybench,0,1,3.12,1.04926,2.60266,2.62151,2602662540,99.2809,0.02,2621513055,3.21
xlintstz,scientific,0,0,0,0,0,0,0,0,0,0,0
xlintstrfz,scientific,0,0,0,0,0,0,0,0,0,0,0
gramschmidt,polybench,0,1,22.63,0.00212466,22.4452,22.5041,22445162201,99.7381,0.03,22504107224,22.9
python,compilation,0,1696,41723.3,40.9969,14.2846,97.4971,14284623967,14.6513,194.98,97497109745,41681.1
mcrypt-ciphers,encryption,0,1,2.07,0.0165206,0.00462481,0.0245417,4624813,18.8447,0.01,24541660,2.16
bzip2,compression,0,10,26.52,1.61991,0.488488,6.61557,488488485,7.38392,0.88,6615573481,28.21
lu,polybench,0,1,6.59,1.08203,6.44873,6.46853,6448728933,99.6939,0.01,6468531600,6.72
mvt,polybench,0,1,0.61,1.05558,0.289984,0.586576,289983744,49.4366,0.09,586576479,0.82
sha256,encryption,0,1,0.74,3.81217,2.063,0.0109413,2063,0.0188551,0.01,10941327,0.86
hmac,encryption,0,1,0.68,7.00223,3.391,8.3043,3391,4.08343,0.01,83043,0.84
md5,encryption,0,1,0.67,4.19053,2.336,9.7678,2336,2.39153,0.02,97678,0.92
durbin,polybench,0,1,0.77,1.08418,0.363729,0.703143,363729090,51.729,0.08,703142850,1.03
sha1,encryption,0,1,0.7,1.57683,9.23,0.00216526,923,0.0426277,0.01,2165257,0.85
cholesky,polybench,0,1,3.86,0.00214994,3.54028,3.5514,3540281569,99.6868,0.01,3551403934,4.04
gzip,compression,0,10,20.91,0.0520658,0.0145065,4.80375,14506486,0.301983,0.26,4803749668,21.95
floyd-warshall,polybench,0,1,79.05,1.09842,78.772,78.7914,78772027993,99.9755,0.01,78791361827,79.3
mcrypt-aes,encryption,0,1,2.18,6.8792,2.606,0.000285897,2606,0.911517,0.03,285897,2.37
jacobi-2d-imper,polybench,0,1,0.61,1.09089,0.310138,0.348215,310137976,89.0652,0.01,348214552,0.71
2mm,polybench,0,1,32.34,1.07553,32.1336,32.2084,32133566439,99.7675,0.02,32208445706,32.54
ssl,encryption,0,0,0,0,0,0,0,0,0,0,0
covariance,polybench,0,1,10.68,1.0861,10.4421,10.4616,10442137331,99.8135,0.01,10461648343,10.84
trisolv,polybench,0,1,0.42,1.04803,0.0395641,0.342382,39564147,11.5556,0.02,342381966,0.52
xlintstc,scientific,0,0,0,0,0,0,0,0,0,0,0
xlintstds,scientific,0,0,0,0,0,0,0,0,0,0,0
sha512,encryption,0,1,0.77,3.70758,2.568,0.00635622,2568,0.0404014,0.01,6356218,0.94
fdtd-2d,polybench,0,1,1.61,1.06669,0.894871,0.950196,894870875,94.1775,0.01,950195811,1.74
blowfish,encryption,0,1,0.13,5.35645,0,0.00225281,0,0,0.03,2252810,0.32
correlation,polybench,0,1,10.84,0.00107611,10.6446,10.6822,10644597007,99.6477,0.03,10682233339,11.03
xlintstzc,scientific,0,0,0,0,0,0,0,0,0,0,0
dsa,encryption,0,1,3.32,0.0304442,0.0117005,0.0369726,11700507,31.6464,0.04,36972647,3.42
sqlite3,database,0,1,145.44,14.9774,4.02636,100.85,4026362507,3.99244,45.06,100849648410,357.53
xlintstrfd,scientific,0,0,0,0,0,0,0,0,0,0,0
