Name,Domain,T_system,T_user,T_wall
gemver,polybench,0.04,0.6,0.67
fdtd-2d,polybench,0.01,0.95,1
ccrypt,encryption,0,0,0
reg_detect,polybench,0,0.03,0.08
seidel-2d,polybench,0,0.85,0.89
syrk,polybench,0,7.32,7.37
adi,polybench,0,4.11,4.15
xz,compression,0.11,40.58,40.94
covariance,polybench,0.01,10.71,10.75
fdtd-apml,polybench,0.27,5.59,5.88
sha256,encryption,0,0.01,0.05
bicg,polybench,0.04,0.49,0.57
sha1,encryption,0,0,0.06
gramschmidt,polybench,0,22.56,22.58
ludcmp,polybench,0,2.48,2.5
tcc,compilation,NaN,NaN,NaN
leveldb,database,5.83,18.18,34.16
sqlite3,database,36.2,48.41,251.43
minisat,verification,0.29,822.85,825.82
x264,multimedia,0.02,7.78,8.13
symm,polybench,0,21.78,21.81
sha512,encryption,0,0.01,0.05
linpack,scientific,0.03,31.19,31.33
doitgen,polybench,0,7.93,7.95
dynprog,polybench,0.03,47.83,47.94
rsa,encryption,0,0.2,0.31
ecdsa,encryption,0,0.63,0.66
ruby,compilation,8.67,120.81,127.8
mvt,polybench,0.03,0.51,0.56
correlation,polybench,0,10.78,10.87
ssl,encryption,1,55.54,56.66
lu,polybench,0,2.39,2.43
python,compilation,5.57,41.5,192.8
rc4,encryption,0,0,0.07
durbin,polybench,0.06,0.58,0.66
mcrypt-ciphers,encryption,0,0.01,0.05
povray,multimedia,2.5,4501.77,4537.61
lulesh,scientific,10.8,101.34,112.36
cholesky,polybench,0,1.12,1.14
jacobi-2d-imper,polybench,0,0.23,0.24
2mm,polybench,0.01,32.97,33.03
syr2k,polybench,0,14.09,14.11
hmac,encryption,0,0,0.05
atax,polybench,0.03,0.33,0.39
3mm,polybench,0.02,48.99,49.06
crafty,scientific,0.01,281.04,281.55
gesummv,polybench,0.05,0.43,0.5
openssl,encryption,NaN,NaN,NaN
7z,compression,0.05,21.73,21.86
bzip2,compression,0.06,5.33,5.63
trmm,polybench,0.01,3.69,3.74
jacobi-1d-imper,polybench,0,0.12,0.16
des,encryption,0,0,0.03
gzip,compression,0.03,3.99,4.3
gemm,polybench,0,16.76,16.8
mcrypt-aes,encryption,0,0,0.04
postgres,database,7.08,46.43,91.48
dsa,encryption,0,0.01,0.03
trisolv,polybench,0.02,0.28,0.33
bn,encryption,0,0.4,2.14
cast,encryption,0,0.59,0.65
crocopat,verification,2.92,40.06,76.69
md5,encryption,0,0,0.08
js,compilation,0.21,8.13,19.09
floyd-warshall,polybench,0,7.18,7.22
